,Adsorbent,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,Has_OMS,0.5bar_GCMC,Adsorbate,Uptake,Temperature,Molecular weight (g/mol),H-bond donors,H-bond acceptors,Dipole moment (D),Molecular surface area (Å^2),Critical temperature (K),"Compressibility factor (상온,상압)","Hmolar (상온,상압)","Compressibility factor 주어진 압력, 온도","Hmola 주어진 압력, 온도",Boiling point at 1atm (K),Melting point at 1atm (K),Boiling point at 주어진압력 (K),Melting point at 주어진압력 (K),Pressure
21101,XAPCOJ07_clean,7.31581,7.08591,7.31581,1.1114,1611.64,1450.1,0.0,0.0,0.6012,0.540938,0.0,0,0.085546938,O2,0.169712087,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21105,XAPCUN_clean,8.23812,7.71066,8.23292,1.2095,2057.71,1701.29,0.0,0.0,0.6722,0.555769,0.0,0,0.125263814,O2,0.244765353,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21109,XAPDAU_clean,8.2002,7.60089,8.18046,1.21167,2074.4,1712.02,0.0,0.0,0.6722,0.554773,0.0,0,0.12769499,O2,0.249147131,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21113,XAPDEY_clean,8.43698,7.85452,8.43698,1.19984,2075.29,1729.64,0.0,0.0,0.6726,0.560573,0.0,0,0.128538956,O2,0.249613222,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21117,XAPNIN_clean,6.36937,5.09614,6.24616,0.987749,1999.77,2024.57,0.0,0.0,0.6554,0.663529,0.0,0,0.107979164,O2,0.216595373,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21121,XAPSIS_clean,5.46139,4.76389,5.45821,0.955004,2054.51,2151.31,0.0,0.0,0.644,0.674342,0.0,1,0.094617226,O2,0.188370476,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21125,XARPAK_clean,5.96341,5.54999,5.95022,1.02109,1555.57,1523.45,0.0,0.0,0.5744,0.562538,0.0,1,0.165677033,O2,0.321439287,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21129,XASFAY_clean,4.84062,3.90347,4.82463,0.992255,1242.53,1252.23,0.0,0.0,0.541,0.545223,0.0,1,0.150391326,O2,0.29433685,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21133,XASJUZ_clean,5.3717,3.49252,5.3717,1.8286,687.912,376.196,166.963,91.3066,0.5254,0.287324,0.0,1,0.070953656,O2,0.140329533,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21137,XASNUD_clean,13.51875,4.58024,13.51875,0.967914,2185.15,2257.59,0.0,0.0,0.6906,0.713493,0.0,1,0.129189909,O2,0.255943887,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21141,XASPEP_clean,8.21663,6.97386,8.21491,1.11162,2036.98,1832.45,0.0,0.0,0.6426,0.578078,0.0,1,0.098718259,O2,0.196901518,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21145,XATLIQ_clean,6.68504,4.40867,6.68504,1.13487,1861.75,1640.49,0.0,0.0,0.6014,0.529928,0.0,1,0.119209113,O2,0.242361418,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21149,XATZOK_clean,8.52599,5.82023,8.33095,0.788781,2129.05,2699.16,0.0,0.0,0.69,0.874767,0.0,1,0.191583621,O2,0.377276701,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21153,XATZUQ_clean,7.56959,6.44554,7.50387,0.891969,1666.54,1868.38,0.0,0.0,0.6382,0.715495,0.0,1,0.149295312,O2,0.294927477,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21157,XAVDEF_clean_h,7.82348,7.29552,7.82348,0.99494,1791.82,1800.93,0.0,0.0,0.636,0.639234,0.0,1,0.069718354,O2,0.138131559,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21161,XAVKIR_clean,15.62831,12.51365,15.62831,0.534545,1877.9,3513.08,0.0,0.0,0.7824,1.46367,0.0,1,0.204399737,O2,0.404995625,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21165,XAVQIU_clean,4.2412,3.56279,4.22796,1.15986,1110.01,957.016,0.0,0.0,0.5978,0.515406,0.0,1,0.103230229,O2,0.201772341,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21169,XAVQIU01_clean,4.21946,3.54584,4.20969,1.16836,1052.94,901.216,0.0,0.0,0.57,0.487865,0.0,1,0.10391641,O2,0.202836861,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21173,XAWVUN_clean,10.78711,9.22291,10.78432,0.464213,2191.63,4721.18,0.0,0.0,0.8104,1.74575,0.0,1,0.138174169,O2,0.27922468,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21177,XEBHOC_clean,12.08201,9.91355,12.06465,0.465059,2182.46,4692.86,0.0,0.0,0.813,1.74817,0.0,1,0.138872396,O2,0.276844562,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21181,XEDGIY_clean,7.07898,5.31452,7.01634,0.998068,1852.97,1856.56,0.0,0.0,0.6184,0.619597,0.0,1,0.126512504,O2,0.245071621,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21185,XEDLUN_clean,5.03615,3.51292,5.0361,0.885985,1404.83,1585.62,0.0,0.0,0.61,0.688499,0.0,1,0.29745105,O2,0.582048107,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21189,XEDLUN01_clean,4.9958,3.46915,4.97725,0.885985,1404.66,1585.43,0.0,0.0,0.6048,0.68263,0.0,1,0.298614337,O2,0.588504025,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21193,XEDPED_clean,10.92065,8.43628,10.92065,1.03509,1442.59,1393.7,0.0,0.0,0.609,0.588357,0.0,0,0.142474101,O2,0.279579942,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21197,XEDPIH_clean,4.84924,3.94171,4.80226,1.78705,773.954,433.09,0.0,0.0,0.5042,0.282141,0.0,0,0.233680095,O2,0.420348932,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21201,XEDPON_clean,7.48304,4.32366,7.48304,1.13521,1918.18,1689.72,0.0,0.0,0.6406,0.564302,0.0,1,0.211683322,O2,0.41475288,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21205,XEDPUT_clean,12.14022,5.32775,12.13484,1.5096,998.115,661.177,50.3608,33.3603,0.5416,0.35877,0.0,1,0.426955456,O2,0.642001099,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21209,XEFGAQ_clean,4.04864,3.84801,4.03945,1.23647,540.504,437.135,0.0,0.0,0.4578,0.370247,0.0,0,0.176316949,O2,0.335281284,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21213,XEFKOI_clean,4.24138,4.03203,4.24093,1.2014,660.067,549.414,0.0,0.0,0.487,0.40536,0.0,0,0.193774466,O2,0.369601259,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21217,XEHDEV_clean,10.95452,9.96703,10.95452,0.958795,1688.15,1760.7,0.0,0.0,0.6704,0.699211,0.0,0,0.086595692,O2,0.172389435,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21221,XEHRUY_clean,4.75094,3.73804,4.73309,1.40294,806.249,574.687,0.0,0.0,0.4558,0.32489,0.0,0,0.02189904,O2,0.043751517,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21225,XEHSAF_clean,4.88109,3.65952,4.87411,1.39164,808.303,580.827,0.0,0.0,0.4608,0.33112,0.0,0,0.020601334,O2,0.041259354,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21229,XEHSEJ_clean,5.24127,3.85188,5.21916,1.33454,931.861,698.265,0.0,0.0,0.4838,0.362522,0.0,0,0.021010284,O2,0.042617795,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21233,XEHSIN_clean,4.81303,3.64676,4.81303,1.40908,773.939,549.25,0.0,0.0,0.452,0.320776,0.0,0,0.0213504,O2,0.043374959,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21237,XEHSOT_clean,4.76348,3.63666,4.76348,1.41375,744.384,526.53,0.0,0.0,0.4508,0.318867,0.0,0,0.021488066,O2,0.042042837,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21241,XEHSUZ_clean,4.73753,3.78928,4.73753,1.38845,832.486,599.579,0.0,0.0,0.4634,0.333753,0.0,0,0.02320282,O2,0.046838882,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21245,XEJWUG_clean,4.34072,3.48491,4.33485,1.56158,471.476,301.922,0.0,0.0,0.4076,0.261018,0.0,0,0.113486012,O2,0.21376466,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21249,XEJXAN_clean,4.27901,3.60567,4.27901,1.57867,491.894,311.588,0.0,0.0,0.4078,0.258319,0.0,0,0.117127699,O2,0.227738231,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21253,XEJXER_clean,4.12173,3.57853,4.12173,1.5597,414.634,265.842,0.0,0.0,0.4006,0.256844,0.0,0,0.028452733,O2,0.056246438,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21257,XEKCAT_clean,5.88115,4.91006,5.87893,0.940943,2247.61,2388.68,0.0,0.0,0.6062,0.644247,0.0,1,0.129929103,O2,0.254580898,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21261,XEKCAT01_clean,5.91545,4.93297,5.80854,0.930696,2244.72,2411.88,0.0,0.0,0.61,0.655424,0.0,1,0.125370262,O2,0.248642858,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21265,XEMHOM_clean,4.79162,4.0639,4.76831,2.00034,450.789,225.357,0.0,0.0,0.3928,0.196367,0.0,1,0.036604868,O2,0.071380829,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21269,XENCAU_clean,8.29403,6.89914,8.29403,0.556974,2324.09,4172.71,0.0,0.0,0.7312,1.31281,0.0,1,0.092175028,O2,0.181484086,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21273,XENKIM_clean,7.32998,6.03401,7.3267,0.822036,2196.41,2671.92,0.0,0.0,0.6598,0.802641,0.0,1,0.133275622,O2,0.268503891,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
21277,XENZEX_clean,4.03588,3.72621,4.02671,3.30835,180.903,54.6807,0.0,0.0,0.268,0.0810071,0.0,1,0.597667761,O2,0.65509874,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9993062100756293,8525.020687427685,90.1878078805,54.36,90.062105845155,54.36,1.0
