,Adsorbent,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,Has_OMS,0.001bar_GCMC,Adsorbate,Uptake,Temperature,Molecular weight (g/mol),H-bond donors,H-bond acceptors,Dipole moment (D),Molecular surface area (Å^2),Critical temperature (K),"Compressibility factor (상온,상압)","Hmolar (상온,상압)","Compressibility factor 주어진 압력, 온도","Hmola 주어진 압력, 온도",Boiling point at 1atm (K),Melting point at 1atm (K),Boiling point at 주어진압력 (K),Melting point at 주어진압력 (K),Pressure
62,ADIQEL_clean,4.43355,3.91364,4.43149,1.23763,785.544,634.715,0.0,0.0,0.4682,0.378303,0.0,0,0.0009579589,O2,3.832441587,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
63,ADOBIF_clean,5.54781,3.82743,5.54167,1.58873,944.037,594.207,131.28,82.6315,0.4886,0.30754,0.0,1,0.0003742057,O2,1.659056156,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
64,ADOCEC_clean,5.40135,3.83278,5.40061,1.53544,942.082,613.56,194.67,126.785,0.4904,0.319388,0.0,1,0.0001599582,O2,1.436227885,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
65,ADOGEH_clean,12.71447,5.05258,12.69973,1.01991,1997.13,1958.14,0.0,0.0,0.677,0.663783,0.0,1,0.0005733936,O2,3.291897982,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
66,ADUROI_clean,25.68553,17.12424,25.68553,0.402567,1285.84,3194.1,0.0,0.0,0.8358,2.07617,0.0,1,0.0002244426,O2,2.845945141,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
67,ADUWIH_clean,9.28386,6.55138,8.99777,0.722123,2053.82,2844.14,0.0,0.0,0.7098,0.982935,0.0,1,0.0002151797,O2,2.982405453,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
68,ADUWON_clean,16.37935,5.99724,16.37935,0.521247,2391.39,4587.82,0.0,0.0,0.7844,1.50485,0.0,1,0.0003829315,O2,4.119470636,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
69,AFEJOK_ion_b,5.99825,5.12689,5.98721,1.10129,1640.7,1489.79,0.0,0.0,0.5808,0.52738,0.0,1,0.0005160813,O2,3.929500643,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
70,AFITEP_clean,4.64022,4.09997,4.63375,1.06928,1521.04,1422.49,0.0,0.0,0.5262,0.492105,0.0,0,0.0005994946,O2,3.812366159,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
71,AFITUF_clean,7.14066,5.08524,7.12439,1.32285,1391.46,1051.86,0.0,0.0,0.5322,0.402312,0.0,1,0.0001491977,O2,1.930043082,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
